Census Tract,County,Total:,Total:!!White alone,Total:!!Black or African American alone,Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Some other race alone,Total:!!Two or more races:,Total:!!Two or more races:!!Two races including Some other race,"Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
4402,Alameda,"6,106","1,212",321,17,"1,521",10,"2,815",210,70,140
4403.01,Alameda,"7,805","2,592",316,9,"2,446",97,"1,568",777,443,334
4403.04,Alameda,"5,124",466,668,16,"3,139",257,222,356,112,244
4403.05,Alameda,"4,401",977,67,31,"2,636",30,424,236,91,145
4403.06,Alameda,"4,119",531,171,3,"2,739",94,227,354,158,196
4403.07,Alameda,"4,928","1,013",166,38,"2,956",12,475,268,112,156
4403.08,Alameda,"6,290","1,516",142,108,"3,202",12,753,557,128,429
4403.31,Alameda,"3,288",576,50,0,"1,801",174,332,355,48,307
4403.32,Alameda,"3,471",468,63,14,"2,681",6,139,100,18,82
4403.33,Alameda,"2,923",398,77,0,"2,232",8,68,140,32,108
4403.34,Alameda,"4,427",514,221,5,"3,312",12,316,47,5,42
4403.36,Alameda,"4,383",915,375,83,"2,118",5,432,455,53,402
4403.37,Alameda,"2,842",601,194,21,"1,987",39,0,0,0,0
4403.38,Alameda,"4,278","1,056",59,0,"2,632",49,229,253,0,253
4411,Alameda,"4,599","2,069",45,0,"1,464",9,518,494,29,465
4412,Alameda,"6,831","2,801",118,19,"3,113",0,434,346,103,243
4413.01,Alameda,"3,255",820,304,55,"1,868",9,0,199,0,199
4413.02,Alameda,"5,860","1,628",108,13,"3,517",47,247,300,159,141
4414.01,Alameda,"7,738","1,670",101,21,"5,020",143,526,257,23,234
4414.02,Alameda,"5,450","1,079",236,17,"3,531",0,177,410,34,376
4415.01,Alameda,"6,603",853,253,19,"4,796",125,135,422,272,150
4415.03,Alameda,"7,469",734,117,86,"6,256",19,29,228,50,178
4415.21,Alameda,"6,045","1,002",116,40,"4,257",25,73,532,364,168
4415.22,Alameda,"5,248",894,315,16,"3,580",26,332,85,31,54
4415.23,Alameda,"4,240",602,128,0,"3,187",79,165,79,12,67
4415.24,Alameda,"4,136",308,109,0,"3,662",0,6,51,7,44
4415.25,Alameda,807,75,23,0,595,0,101,13,13,0
4416.01,Alameda,"4,788","1,739",406,0,"1,898",19,456,270,58,212
4416.02,Alameda,"8,010","2,309",128,0,"3,602",361,"1,121",489,229,260
4417.01,Alameda,"4,382",723,77,40,"1,941",0,"1,359",242,55,187
4417.02,Alameda,"4,630","1,668",407,21,"2,191",0,105,238,41,197
4418,Alameda,"7,661","2,159",87,23,"4,654",0,537,201,109,92
4419.21,Alameda,"3,961",908,225,49,"1,859",0,677,243,121,122
4419.23,Alameda,"6,042",732,147,25,"4,168",0,382,588,416,172
4419.24,Alameda,"7,586","1,090",167,34,"4,974",38,641,642,140,502
4419.26,Alameda,"4,516",665,212,58,"2,268",9,889,415,230,185
4419.27,Alameda,"4,263",810,143,31,"2,660",48,243,328,45,283
4419.28,Alameda,"3,774",854,373,0,"2,022",0,217,308,185,123
4419.29,Alameda,"3,611",520,12,11,"2,817",0,148,103,16,87
4420,Alameda,"3,299",973,4,12,"2,172",37,29,72,2,70
4421,Alameda,"5,476",717,96,21,"4,479",29,15,119,98,21
4422,Alameda,"7,440","1,197",373,25,"5,460",3,99,283,159,124
4423.01,Alameda,"5,443","1,643",207,49,"2,701",54,440,349,83,266
4423.02,Alameda,"6,342","1,066",221,22,"4,075",0,708,250,45,205
4424,Alameda,"6,578","1,881",232,48,"3,487",0,765,165,58,107
4425.01,Alameda,"3,759",811,32,16,"2,017",0,480,403,44,359
4425.02,Alameda,"3,903",851,69,33,"1,926",52,837,135,3,132
4426.01,Alameda,"4,040","1,469",15,11,"1,337",22,988,198,64,134
4426.02,Alameda,"5,113","1,477",640,30,"1,801",0,955,210,39,171
4427,Alameda,"3,035","1,226",131,20,"1,423",0,67,168,116,52
4428,Alameda,"2,994","1,128",104,3,"1,303",0,316,140,38,102
4429,Alameda,"8,084","2,145",294,111,"4,465",84,305,680,279,401
4430.01,Alameda,"2,832",664,131,6,"1,252",94,454,231,125,106
4430.02,Alameda,"6,932","1,320",161,15,"4,294",6,647,489,167,322
4431.02,Alameda,"5,019",747,26,0,"3,907",18,73,248,60,188
4431.03,Alameda,"4,097",844,3,28,"2,998",0,44,180,40,140
4431.04,Alameda,"5,511",821,294,0,"4,234",56,0,106,30,76
4431.05,Alameda,"4,808",545,41,0,"3,981",33,112,96,0,96
4432,Alameda,"4,157",668,0,9,"3,296",7,9,168,51,117
4433.01,Alameda,"4,467","1,150",60,1,"2,814",8,255,179,140,39
4433.21,Alameda,"3,314",230,114,0,"2,688",25,164,93,37,56
4433.22,Alameda,"3,284",798,31,22,"2,138",69,29,197,46,151
4441,Alameda,"7,667","3,654",305,7,"1,867",222,"1,002",610,314,296
4442,Alameda,"7,238","2,073",42,42,"3,057",146,"1,332",546,305,241
4443.01,Alameda,"3,855","1,499",206,84,"1,191",93,436,346,197,149
4443.03,Alameda,0,0,0,0,0,0,0,0,0,0
4443.04,Alameda,"5,445",839,240,40,"2,254",119,"1,555",398,283,115
4444,Alameda,"5,649","1,133",255,17,"1,194",50,"2,472",528,249,279
4445,Alameda,"7,537","2,215",260,82,"1,952",61,"1,986",981,629,352
4446.01,Alameda,"6,095","1,699",133,0,"2,901",25,717,620,407,213
4446.02,Alameda,"4,662","1,017",126,0,"2,974",72,67,406,150,256
4501.01,Alameda,"6,163","1,972",192,18,"3,390",6,240,345,78,267
4501.02,Alameda,"6,076","1,758",575,81,"2,715",31,313,603,74,529
4502,Alameda,"5,297","2,749",162,0,"1,739",74,14,559,13,546
4503,Alameda,"5,239","3,286",344,19,"1,352",0,90,148,60,88
4504,Alameda,"7,757","3,858",215,72,"2,545",48,223,796,139,657
4505.01,Alameda,"3,097","1,955",0,21,773,0,27,321,94,227
4505.02,Alameda,"5,811","2,572",47,47,"2,693",23,136,293,28,265
4506.01,Alameda,"3,645","2,024",12,36,"1,318",0,11,244,0,244
4506.03,Alameda,"5,070","2,691",60,9,"1,547",0,251,512,229,283
